company,location,country,year,capex,currency,capex_2025_eur,capacity,facility_size_m2,source_url,confidence_score
Shenandoah Valley Organic,"Harrisonburg, Virginia",US,2021,,,,,6968,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Sierra Madre Produce,"Santa Teresa, New Mexico",US,2021,,,,,2973,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Sierra Supply Chain Svcs/Penta Properties,"Hamilton, Ontario",CA,2021,65.0,USD,71.52,,23226,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Simmons Pet Food,"Dubuque, Iowa",US,2021,100.0,USD,110.02,,25548,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Simmons Pet Food,"Siloam Springs, Arkansas",US,2021,,,,,8361,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Smithfield Foods,"Sioux City, Iowa",US,2021,,,,,1486,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Sofina Foods,"Calgary, Alberta",CA,2021,200.0,USD,220.05,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
South Mill Champs,"Sacramento, California",US,2021,,,,,1301,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
SpartanNash,"Caledonia, Michigan",US,2021,,,,,5110,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Stella & Chewy's,"Oak Creek, Wisconsin",US,2021,139.0,USD,152.93,,6317,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Strauss Brands,"Milwaukee, Wisconsin",US,2021,,,,,16258,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Streetwater Hemp,"Pleasanton, Nebraska",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
SunOpta,"Allentown, Pennsylvania",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Sunny Farms,"Virginia Beach, Virginia",US,2021,60.0,USD,66.01,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Superior Catfish Products,"Macon, Mississippi",US,2021,,,,,3252,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2020,0.64
Superior Catfish Products,"Columbus, Mississippi",US,2021,,,,,3252,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Superior Catfish Products,"Macon, Georgia",US,2021,,,,,3252,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Sweet Grass Dairy,"Thomasville, Georgia",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
SweetWater Brewing Company,"Fort Collins, Colorado",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Sweetener Solutions,"Pooler, Georgia",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Swift Prepared Foods,"Moberly, Missouri",US,2021,68.0,USD,74.82,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
T. Marzetti,"Altoona, Iowa",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2020,0.565
TI Cold Development,"Reno, Nevada",US,2021,,,,,23597,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Tabatchnick Fine Foods,"Somerset, New Jersey",US,2021,,,,,3345,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
The Honest Kitchen,"Topeka, Kansas",US,2021,,,,,9290,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
The Pizza Plant (sub. Plant Craft Foods),"Sylmar, California",US,2021,,,,,1858,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Thew Arnott,"Monticello, Illinois",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Ti Cold Development,"Houston, Texas",US,2021,,,,,28243,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Ti Cold Development,"Phoenix, Arizona",US,2021,,,,,29264,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
